id,name,topic,review,reviewType
1,HochuHollywood,Главным героем всё это время был не Энди Дюфрейн,,good
2,Македонский101,Жажда свободы,10,good
3,Любыч,НЕправосудие,10,good
4,AbrahamLes,"Свобода, она такая.",6,neutral
5,marcopinks,Околозаконное рабство.,8,good
6,kingwayne,"Вольная птица порхает, где хочет!",,good
7,Xiphactinus audax,Пока живу – надеюсь,,good
8,Pegacorn,"Классическая классика, которую… не поняли?",,good
9,Meetnik,Фильм про гнилую систему правосудия и везучего главного героя - лучший фильм всех народов?,,bad
10,Ирина Сохарева - 7153,Несломленный человек,,good
11,shebalin,Локальная жвачка всех времён и народов,,bad
12,Регина Будтуева - 6590,«Самые страшные трагедии приводили к самым важным изменениям»,,good
13,vickers,Здесь был Энди Дюфрейн,,good
14,жюльвьерн,"Если ты не умеешь распоряжаться свободой, ты её не заслуживаешь",10,good
15,generousmars,Непоколебимая свобода…,9,good
16,Кирилл Тихонов - 6274,Самый великий,10,good
17,rymario,"Да, для меня «Побег из Шоушенка» заслуженно лучший фильм!",,good
18,novikvlad10,'Недалекий человек',,good
19,edouardsalyaheev,Никогда не сдавайся!,,good
20,vitaliypuzov@rambler.ru,Невероятный побег!,,good
21,Mister_Christmas,#сел_посмотреть 'Побег из Шоушенка',,good
22,Mister_Christmas,#сел_посмотреть 'Побег из Шоушенка',,good
23,Субъект,Суть лишь за картинкой и в книге.,,good
24,motherware,25 лет фильму! Снова в прокате!,10,good
25,Aleks-Predator,Жить без этих стен ты уже не сможешь…,8,good
26,EugeneHarris,,7,good
27,Gorman995,,10,good
28,egor.mironoff2010,"Ты не ты, когда в тюрьме...",10,good
29,enfatic,,7,neutral
30,Chaosmaster,,5,neutral
31,AubekirBatcha09,"«Надежда самая лучшая из вещей, она никогда не умирает»",10,good
32,ConstanceFleur,Шедевр,,good
33,Darkit,,,good
34,SharkiWang,Шахматы — игра королей,,good
35,fabio52,«Зихуатанехо»,,good
36,_G0LIaTh_,"''Занимайтесь жизнью, а не смертью''",,good
37,LiliaOmel,Оскар — 1995. Кандидат N 2 — «Побег из Шоушенка»,,good
38,Энтони,Экзистенциальная драма,10,good
39,Bandera1996,Что такое свобода?,10,good
40,boyinthenutshell,Самый переоцененный фильм в истории кинематографа,4,bad
41,Markuk,«Отдайся жизни либо смирись со смертью»,10,good
42,d-romance,"«Перевоспитался ли я? Вы знаете, я понятия не имею, что значит «перевоспитался» ©",,good
43,cheeky_poppet,"Если б я не читала книгу, то фильм понравился бы мне куда больше.",7,good
44,DimaKIN,Вековечное стремление к свободе,9,good
45,-Craft-,«Номер 1»,10,good
46,Nasten1,,10,good
47,Екатерина Ширяева,Хитрец из Шоушенка.,10,good
48,sokolov.kontstantin,Удивительный фильм.,,good
49,Дмитрий Ермилов,Побег и Урок,,good
50,ranger_elia,Они не могут отобрать у тебя надежду,9,good
51,watchmenal,,,good
52,ElleD,"«Надежда — последнее, что умирает в человеке». Диоген",,good
53,King_Bardlin,Бегство от свободы,10,good
54,VyacheslavKino,Вкратце о кино #02. С надеждой в сердце,10,good
55,-Dart_Weider-,Искупление через Шоушенк,10,good
56,HellBull,Надежда на свободу,,good
57,Erdagan,Хладнокровный гений,,good
58,Морган Фриман,,10,good
59,Alexey_D,Некоторых птиц в неволе не удержишь,10,good
60,Алексей Трегуб,Первый на Кинопоиске,10,good
61,SaryZhappas,"Я надеюсь, что переберусь через границу, надеюсь увидеть своего друга и пожать ему руку, я надеюсь, что Тихий океан такой же голубой, каким он мне снился, я надеюсь…",10,good
62,Sofia Nomad,Номер 1 в топ-250… и чудовищная экранизация,,bad
63,Александр Отсус,'Милости прошу к нашему шалашу',,good
64,TJMJ,Побег из Шоушенка,,good
65,Шишкин Николай,Динамо бежит? Все бегут …,5,bad
66,AndreiStashov,Тюрьма не сдержит умного.,9,good
67,Wikia,Надежда,,good
68,DarkPrince,Тюремная философия,,good
69,MaHa01,С надеждой на лучшее!,10,good
70,Ksaina,Начинай создавать сейчас,10,good
71,VadimCzech,"Сначала ты ненавидишь эти стены, потом — привыкаешь, ну а когда просидишь здесь достаточно долго — получается, что ты от них зависишь.",,good
72,Vika Sonko,Энди освобожденный,10,good
73,La Dame de Poiqie,Сказка,10,good
74,sergejzenit,Социальный ужастик,7,good
75,Alex Croft,Побег из Шоушенка,,good
76,Evgenii GrandMASTER,"Поколению Old School и любителям устаревших жизненных ценностей посвящается, или О том, как снять сказочку из лихих 90-х",2,bad
77,JellyWoo,'Страх делает тебя пленником. Надежда дает тебе свободу.',10,good
78,bone23roar,Как 'Побег из Шоушенка' заставил меня написать рецензию,,neutral
79,C_B_J,Побег из ада...,10,good
80,Happy Epiphany,Number one...,10,good
81,Wavie,Хорошее кино,9,good
82,Unfaceable,А что тут скажешь?,,good
83,Miss Moonlight 13,"Эти стены имеют одно свойство: сначала ты их ненавидишь, потом привыкаешь, а потом не можешь без них жить.",,good
84,Орк-наемник,68%,,neutral
85,Пермяк,Самый лучший фильм,10,good
86,Arabeska,,5,bad
87,Борик Борисов,"Как важно ценить то, чем ты обладаешь, и никогда не терять надежду...",,good
88,AHMAD09,Шедевр на все времена,10,good
89,Solar Eternity,"Remember, Red, hope is a good thing. Maybe the best of things",8,good
90,ANDrevenge,Жизненная сила,8,good
91,+CruS@DeR+,Всё сводится к одному: Занимайся жизнью… или занимайся смертью.,,good
92,Psychedelicgirl,Dedicated to all the people of redemption,10,good
93,Енотовидный кот,Все кругом такие серьёзные...,,neutral
94,Roger D Broken,Не за что винить,,good
95,Сергей Тюленев,Фильм выставляет героем вора.,1,bad
96,newcinema,Заставить себя жить,9,good
97,Kravchenkovi,«Занимайся жизнью или занимайся смертью»…,10,good
98,Come On Closer,мир хочет быть обманутым.,,bad
99,Brinessa,Цените жизнь.,10,good
100,-Миф-,"Хочу туда, где тепло и нет памяти.",,good
101,TheTheory,"Я надеюсь, что смогу перебраться через границу. Я надеюсь увидеть моего друга и пожать его руку. Я надеюсь, что Тихий океан окажется таким же голубым, каким он мне снился. Я надеюсь.",10,good
102,Вика Ходакова,«День новый — дерьмо старое».,10,good
103,Epsans,,8,good
104,Cherva,,10,good
105,dashka07,,10,good
106,Olrass,Побег из «Шоушенка» или свобода — это состояние ума,8,good
107,AlexPayneSPB,"Верь и действуй, и тогда ты обретёшь свободу.",,good
108,RomzesG,Замечательный фильм.,10,good
109,Comedy-kino-man,"Всем, кто не отчаялся",,good
110,frozenview,Крепкий фильм.,7,good
111,KOMBIK,"фильм, по меньшей мере потрясающий",10,good
112,VL98,Культовый шедевр.,10,good
113,Makaveli96,В коллекцию. Часть 2.,10,good
114,greatiger,"Средненькое простое переоцененное кино слабой реалистичности, поданное как философское и потому простое и понятное массам и признанное большинством",7,neutral
115,Rexhepi,Прошлое поколение или Old School,6,bad
116,Kinoven1592,Страх делает тебя пленником. Надежда дает тебе свободу...,,good
117,sakura7775,Заслуженное 1 место или фильм на все времена,,good
118,the mirrors,Киночтиво,,neutral
119,hatalikov,Главное - это надежда. Нет ничего лучше надежды. И она никогда не умирает.,10,good
120,Barnaul_MAN,Американский тюремный роман,10,good
121,cinephile George,"Идеальный фильм, вот он какой.",10,good
122,Ашела,"'Приговор окончательный, и обжалованию не подлежит'",,good
123,Малов-кино,Куда приводят менты,,good
124,Ваня Старостенко,Переоцененный «шедевр»,2,bad
125,Demigod177,Притча о стремлении к свободе.,10,good
126,ministrelia1100,Надежда – самая лучшая из вещей. Она никогда не умирает.,10,good
127,Saffron Burrows,Стремление человека к свободе,10,good
128,Fidan Humbatova,1,10,good
129,NastyaKotik,Некоторые птицы не рождены для клеток,10,good
130,ThrillerStory,'Обычный' фильм в 'шедевральной' шкуре,4,bad
131,nikromantik79,Дерзкий план побега! Миф или реальность ? Надежда по Энди Дюфрейну!,10,good
132,era4ik,"И в этот момент, каждый заключенный почувствовал себя свободным!",10,good
133,Иван Распивин,Очень жизненный фильм!,9,good
134,dilightiiish,Спасение лежит внутри,10,good
135,leksa-zaraza,"Помни, надежда - хорошая вещь! Может даже самая лучшая.",7,neutral
136,wrta,,10,good
137,grizlimail,С надеждой и без страха,8,good
138,r5bnjh7u,«Страх — это кандалы. Надежда — это свобода»,10,good
139,Селена Сергеева,Души высокая свобода,,good
140,sashaner1,,,good
141,Vasya_Rogov1,Вера - есть свобода,8,good
142,freed_mindless,Must see yourself,10,good
143,Хириоли,,,neutral
144,Alexander Sheremetev,Всё сводится к очень простому выбору: занимайся жизнью или занимайся смертью.,8,neutral
145,paul anka,,,good
146,AllisKiller,,10,good
147,sokolsokolsokol,...мне дайте свободу - я птицею ввысь улечу!,9,good
148,Hakasims,,,neutral
149,Nurasyl2001,Фильм о несправедливости. Фильм о борьбе. Фильм о жизни.,,good
150,jumper1,Надежда — самая лучшая из вещей. Она никогда не умирает.,,good
151,Kristele,,10,good
152,Валерия Смирнова,"Любимый фильм миллионов, далёкий от идеала",,bad
153,avedev,Фильм о гении.,,good
154,Cucci,Самый лучший фильм?,,neutral
155,luciousferos,Надежда-живительный источник нашей силы и нашей радости,,good
156,Daria_boo,Надежда — самая лучшая из вещей. Она никогда не умирает.,9,good
157,skins_is_love,,,good
158,Anastasia Portman,,,good
159,milka_insane,И снова NUMBER ONE…,,bad
160,Ellis Boyd,Совершенства не существует,,good
161,Ig_N,,,good
162,ivan2543,,10,good
163,WHY_NINA,Ты или живешь или доживаешь.,10,good
164,Вячеслав Иванов,"Рита Хейуорт, или Спасение из Шоушенка",,good
165,evibliss,«Но не бумажка создаёт человека. И не тюрьма его уничтожает.»,10,good
166,Фрагмент,"Если ты дошел до «Сейчас», стоит идти дальше!:)",,good
167,Aleks Svitt,"«Побег из Шоушенка» (США, 1994). Вера, надежда и свобода, как высшая ценность жизни насущной…",,good
168,grishakakd,Полюбить побег,10,good
169,Scherlok,"Самый печальный фильм о том, как верить в лучшее",,good
170,Little Darling,"Я свободен, словно птица в небесах",,good
171,Un_Om,главное не бояться,,good
172,-Validity-,Новая тюрьма,8,bad
173,remarkable71,А ты не знал? Мы здесь все невиновные.,,good
174,Kitzaza,Идеальный фильм.,,good
175,AlionaHop,"Есть что-то внутри тебя, что нельзя потрогать, оно только твое. Это надежда.",10,good
176,rowkein,,9,good
177,Buball,Пошли в тюрьму?,10,good
178,vatsson,"…«человек будет делать в тюрьме что угодно, лишь бы его ум был занят»…",,good
179,Jenkees,Безупречный фильм,10,good
180,Rikkert,Энди Дюфрейн прополз через реку дерьма и выполз чистым.,,good
181,Lili Lu,Надежда никогда не умирает...,,good
182,Elizaveta-L,вкус свободы,10,good
183,Tyler1991,Чуровщина,7,bad
184,Lyudmila_belle,"У меня бывали долгие ночи в тюрьме. В полной темноте, наедине со своими мыслями.",10,good
185,Admin_67,,7,neutral
186,Г-жа Обломова,Феномен «Побега из Шоушенка»,,neutral
187,Outcaster,Искупление,,good
188,Bourbon_Mary,Все сводится к очень простому выбору: занимайся жизнью или занимайся смертью. (с),10,good
189,la flamme,"Хороший, но явно перехваленный фильм",,bad
190,тох,воплощение гениальности,10,good
191,Sebilis,Может ли Кинг гордится фильмом?,10,good
192,Brobot,Справедливость — не всегда на твоей стороне...,10,good
193,Ann Matthews,Вы правы - спасение внутри,,good
194,n2ck,404,,good
195,Ryuuzaki17,'На воле я был самым честным человеком и таким прямым как стрела. Стоило мне сесть в тюрьму и я стал настоящим преступником.',10,good
196,Кино-Рецензор,"Если закон нарушен, его можно нарушить еще раз",,good
197,Norman94,'Надежда — самая лучшая из вещей. Она никогда не умирает!',10,good
198,NaZ LemberG,"Я надеюсь, что переберусь через границу, надеюсь увидеть своего друга и пожать ему руку, я надеюсь, что Тихий океан такой же голубой, каким он мне снился, я надеюсь…",,good
199,Oculum Mentis,Fear can hold you prisoner. Hope can set you free,,good
200,Алёна Афанасьева,"Качественный, интересный, рассудительный.",,good
201,Жирный Шмель,,,good
202,publicist,"Мы верим, что есть свобода пока жива мечта",,neutral
203,Asutka,"Надежда — это хорошая вещь, может быть, даже лучшая, а хорошие вещи не умирают. (с)",10,good
204,diana162422,"В тюрьме человек может делать всё, что угодно. Лишь бы его мозг был занят.",9,good
205,ApTeMoHnv,Сбежать может только свободный человек,8,good
206,ARTEM_JOCKER,Воля к жизни,,good
207,Evgeniy0710,"Бесспорно, лучший фильм!",,good
208,1Lesnik1,"«На воле я был честным до мозга костей, а чтобы стать жуликом — мне пришлось сесть в тюрьму»",,good
209,Katepl,Хочется верить,10,good
210,Владимир Кот,,,good
211,romkowar,"«Свободен лишь тот, кто потерял всё, ради чего стоит жить»...",,good
212,Mesc,Фильм на века,10,good
213,murik147,Навстречу свободе,10,good
214,ivan1995,Спасение внутри,,good
215,Grass,Тюрьма,8,good
216,havulya,"Человек, который прополз через реку дерьма и выполз чистым..",,good
217,ПорванЫй БаЯн,Надежда — опасная штука. Надежда может свести человека с ума.,,good
218,rembo89,Железной волею свобода добыта…,10,good
219,Елена Кузнецова,Его можно было сбить легким ветерком… ХА-ХА-ХА,10,good
220,God Save the Queen,Прополз через реку дерьма и выполз чистым.,10,good
221,rred,Тоска зелёная,5,bad
222,Dina Murtazina,"Фильм, который оставил позади себя все, что было снято за всю историю кино.",,good
223,Lero4ka3105,В вере сама жизнь,,good
224,Radost16,Фильм не для таких высоких оценок,7,bad
225,tuszkanczyk,"Чтобы понять ценность свободы, нужно хотя бы раз почувствовать себя несвободным",9,good
226,Lawrence-Davidson,,,good
227,KsushaChristmas,,10,good
228,Drivefire,«Всё сводится к одному: Занимайся жизнью или занимайся смертью…»,10,good
229,in Bruges,Номер один. Почему?,8,bad
230,Гоша Ехренов,Film about true friendship and… zzz 9/10,9,good
231,andrewkosar,Наводит на долгие и многие размышления...,,good
232,abaitalgatov,Победа разума над безысходностью,10,good
233,DinamiTT,"Можно быть взаперти, но быть свободным!",10,good
234,andie57,Нет ничего лучше...,10,good
235,Zatimnenie,Место где испытывается личность.,10,good
236,invice,Первый. Лучший.,,good
237,sumarokov1,Свобода - высшая ценность,10,good
238,Виталий Вейсов,Всегда первый!,10,good
239,Vitaly Grigoryan,Добро пожаловать в «Шоушенк»,10,good
240,MichaelM,Рита Хейуорт,,good
241,Наталья Кармацкая,Оно того стоит…,10,good
242,Tina97,Побег длиною в жизнь,10,good
243,Chekvat,"Мы здесь все невиновны, ты разве не знаешь?",10,good
244,судак,Главное надежда и вера,10,good
245,nik_rus,'Начни жить или начни умирать...',10,good
246,Anton Llmanov,"Делай все, чтобы жить!",10,good
247,klassen,Только из уважения,,good
248,fishman0809,Человек в роли надежды,,good
249,Ddemetrio,Я свободен!,10,good
250,Jessy Miller,Занимайся жизнью. Или занимайся смертью.,,good
251,От крови волка и дракона,Брови «домиком»,,bad
252,Demon4444,Masterpiece!,,good
253,Noxwell507,"Мы здесь все невиновны, ты разве не знаешь?",10,good
254,Яна Телышева,Некоторых птиц в неволе не удержишь...,,good
255,Nikita999,Свободный взаперти.,,good
256,individualist,Занимайся жизнью или занимайся смертью..,10,good
257,Fahrenheit 911,Добро пожаловать в Шоушенк,,good
258,Anna_rup,'Надежда — самая лучшая из вещей. Она никогда не умирает',10,good
259,Mitrander,Свобода- одно из важнейших благ человека.,,good
260,teriyaki,"там,где тепло и нет памяти.там я хочу прожить остаток своих дней.",,good
261,winter_09,,10,good
262,The Principal,«Andy Dufresne who crawled through a river of shit and came out clean on the other side.»,,good
263,Кидман,"Надежда, которая ведет к свободе",,good
264,April12,"'В тебе есть то, до чего им не добраться'",,good
265,Lesli_Lesli,"Я до сих пор не знаю, о чём пели эти итальянки…(с)",10,good
266,Несносный Шон,Сладкая история свободы,7,neutral
267,Uncle Buck,Любимые фильмы Часть 1,10,good
268,sandhunter,В тихом омуте,10,good
269,NitroGit,Это моя первая рецензия.И она на лучший фильм!,10,good
270,lightm,'Надежда — самое прекрасное чувство. Оно никогда не умирает..',10,good
271,vitamin1992,Читайте библию,9,good
272,Severus_Snape,Юбилейная рецензия на фильм под номером один,,good
273,lolita_sly,Вот ведь как...,,good
274,Aisek,Хэйворт...,10,good
275,Kraftstoff,Надежда — опасная штука. Надежда может свести человека с ума (c) Побег из Шоушенка,5,neutral
276,Робин Локсли,"Это не лучший фильм, потому что лучшего фильма просто нет",,good
277,Smolyar,Первый полнометражный шедевр двух талантливейших людей,,good
278,andrey8gu,,,good
279,Ilovesilens,Шоушенк - мост между двумя мирами.,,good
280,Leneli Red,"Хочу туда, где тепло и нет памяти.",10,good
281,Come Back,Тюремные люди,,good
282,Simple Plan,Разум и время,10,good
283,daniil dampki,Тяжелый путь домой.,,good
284,любитель_кино,Здесь был Брукс,10,good
285,sorta fairytale,Свалить из Шоушенка,,bad
286,3741,"Надежда хорошая вещь. Возможно, лучшая из вещей.",,good
287,ImPotter,"Всего лишь семь букв в слове 'Свобода',но зато сколько смысла.",10,good
288,osipnn,интересная история о гениальном человеке,,good
289,gloomymastif,Хорошие вещи,10,good
290,kintom,В тюрьме сказок не рассказывают. Да и сама тюрьма не сказочный мир.(с),,good
291,blacklily,"'Есть что-то внутри тебя, что нельзя потрогать, оно только твое. Это надежда. '",10,good
292,Румпельштильцхен Второй,"Пока жива надежда, жив и человек...",11,good
293,vika177,'Всё сводится к простому выбору: начни жить или начни умирать.',10,good
294,AmeKutsu,Победить несправедливость..,10,good
295,Порт555,,,neutral
296,Данил Долгополов,Шедевры. Выпуск 2. Две тюрьмы,,good
297,marcus_fenix,Это история о дружбе и верности…,10,good
298,Temson90,Вера и надежда (это вам не русские имена).,,good
299,ЭллиКлар,"Надежда — это хорошая вещь, может быть, даже лучшая, а хорошие вещи не умирают.",10,good
300,Christina Lomaka,"«Я надеюсь, что перееду границу и пожму руку своему другу, и я надеюсь, что Тихий океан такой синий, каким он был в моих снах».",9,good
301,James2211,'Страх - это кандалы. Надежда - это свобода.',10,good
302,bondqwerty@mail.ru,Так бывает,10,good
303,Likani,Хороший фильм. Но не шедевр,8,good
304,Pure_wisdom,"Где ты, а где Мексика!",10,good
305,Andron,Лучший ли это фильм? Не знаю,10,good
306,Эми Прайс,Be free…,10,good
307,Ols_,"Либо занимайся жизнью, либо занимайся смертью.",,good
308,Raoul Duke,Право на побег имеет каждый,10,good
309,Блестящая,Замыслил я побег...,,good
310,belek10lsch,«Добро пожаловать в Шоушенк».,10,good
311,Delfira,'Побег из Шоушенка' или 'Да восторжествует справедливость!',10,good
312,alexshefaria,,9,good
313,Fanor,Роскошные женщины - лучший мотиватор (без них нам остается только загнуться),,good
314,Miss Moonlight,Надежда - опасная штука. Надежда может свести человека с ума.,10,good
315,vk-43611885:Светлана Заярная,,10,good
316,Boild,Надежда - самое главное,,good
317,abolox,"Побег - это то, о чём здесь забываешь",,good
318,Ёжка ядовитая,"Мы сидели и пили пиво, солнце грело нам плечи, было такое ощущение, что мы свободные люди.",10,good
319,INCEPTIONman,«Здесь был Брукс»,,good
320,vmvasusya,"И пусть судьба не справедлива, но...",10,good
321,vk-26266161:Артемий Иванов,1 рецензия...,9,good
322,John Christopher,спасение лежит внутри.,,good
323,Be_oneself,Компас земной,,good
324,iamromanov,Откровение N56. Заголовок: Драма одного человека в лучшем фильме всех времён и народов,,good
325,MarAn,«Занимайся жизнью или занимайся смертью».,9,good
326,skim1776,,,neutral
327,Great_Skyline,Просто отличный фильм,10,good
328,Johnny_78,Борись - и ты победишь!,10,good
329,Maikl__,«Страх - это кандалы. Надежда - это свобода.»,10,good
330,Lezvie_13,Можно убежать из Шоушенка. Не пытайся убежать от себя.,,neutral
331,belka212,Не забыть что в мире есть места высеченные не из камня…,,good
332,Leo DiCaprio,#1. Просто лучший,10,good
333,dioic,,,good
334,bris2,Занимайся жизнью или занимайся смертью (с),,good
335,EnotSty,"Эти стены плохо действуют на людей. Сначала ты их ненавидишь, потом - привыкаешь, а затем ты от них зависишь.",,good
336,Доктор Никто,Чувство свободы - одно из лучших чувств человека!,10,good
337,missis Leto,для кого-то свобода есть тюрьма,10,good
338,Master Q,Тюремная сага.,9,good
339,Бетанкорт,Как же вырваться отсюда? Или это невозможно?,,good
340,Toxic Fahrenheit,In The Zone,,good
341,aDa Vong,"Надежда,которая дает силы жить..",10,good
342,Roman041294,«Страх - это кандалы. Надежда - это свобода.»,10,good
